extraction_time,video_id,title,publish_date,view_count,like_count,comment_count
2025-10-09 07:13:32,GcoCfy0VXxI,NEXT & JD McCrary Compete For The Belt 🙌 Wild 'N Out,2025-10-07T20:00:10Z,14885,628,45
2025-10-09 07:13:33,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,166482,3711,107
2025-10-09 07:13:33,IV6UpsGkpH0,Best of Big JJ 🤣 Wild 'N Out,2025-10-07T20:00:14Z,23929,858,47
2025-10-09 07:13:33,HWqrQoxxRkc,Siri is always there for us  🤣 #WildNOut,2025-10-07T20:00:11Z,30691,851,4
2025-10-09 07:13:34,KIPzNmvH20I,"That was a whole production #WildNOut 🤣 New episode of WNO TONIGHT, 8pm ET on VH1 🙌",2025-10-06T20:00:24Z,49490,2020,46
2025-10-09 07:13:34,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,75143,1228,30
2025-10-09 07:16:22,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,131656,5273,62
2025-10-09 07:16:22,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,118533,4066,132
2025-10-09 07:16:23,GcoCfy0VXxI,NEXT & JD McCrary Compete For The Belt 🙌 Wild 'N Out,2025-10-07T20:00:10Z,14887,628,45
2025-10-09 07:16:23,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,166482,3711,107
2025-10-09 07:16:24,IV6UpsGkpH0,Best of Big JJ 🤣 Wild 'N Out,2025-10-07T20:00:14Z,23929,858,47
2025-10-09 07:16:24,HWqrQoxxRkc,Siri is always there for us  🤣 #WildNOut,2025-10-07T20:00:11Z,30711,851,4
2025-10-09 07:16:25,KIPzNmvH20I,"That was a whole production #WildNOut 🤣 New episode of WNO TONIGHT, 8pm ET on VH1 🙌",2025-10-06T20:00:24Z,49504,2020,46
2025-10-09 07:16:25,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,75157,1228,30
